,DISTRICT,STATE,Latitude,Longitude
0,BALOD,Chhattisgarh,27,28
1,BALOD,Chhattisgarh,27,28
2,BALOD,Chhattisgarh,27,28
3,BALOD,Chhattisgarh,27,28
4,BALOD,Chhattisgarh,27,28
5,BALOD,Chhattisgarh,27,28
6,BALOD,Chhattisgarh,27,28
7,BALOD,Chhattisgarh,27,28
8,BALOD,Chhattisgarh,27,28
9,BALOD,Chhattisgarh,27,28
10,BALOD,Chhattisgarh,27,28
11,BALOD,Chhattisgarh,27,28
12,BALOD,Chhattisgarh,27,28
13,BALOD,Chhattisgarh,27,28
14,BALOD,Chhattisgarh,27,28
15,BALOD,Chhattisgarh,27,28
16,BALOD,Chhattisgarh,27,28
17,BALOD,Chhattisgarh,27,28
18,BALOD,Chhattisgarh,27,28
19,BALOD,Chhattisgarh,27,28
20,BALOD,Chhattisgarh,27,28
21,BALOD,Chhattisgarh,27,28
22,BALOD,Chhattisgarh,27,27
23,BALOD,Chhattisgarh,27,27
24,BALOD,Chhattisgarh,27,27
25,BALOD,Chhattisgarh,27,27
26,BALOD,Chhattisgarh,27,27
27,BALOD,Chhattisgarh,27,27
28,BALOD,Chhattisgarh,27,27
29,BALOD,Chhattisgarh,27,27
30,BALOD,Chhattisgarh,27,27
31,BALOD,Chhattisgarh,27,27
32,BALOD,Chhattisgarh,27,27
33,BALOD,Chhattisgarh,27,27
34,BALOD,Chhattisgarh,27,27
35,BALOD,Chhattisgarh,27,27
36,BALOD,Chhattisgarh,27,27
37,BALOD,Chhattisgarh,27,27
38,BALOD,Chhattisgarh,27,27
39,BALOD,Chhattisgarh,27,27
40,BALOD,Chhattisgarh,27,27
41,BALOD,Chhattisgarh,27,27
42,BALOD,Chhattisgarh,27,27
43,BALOD,Chhattisgarh,27,27
44,BALOD,Chhattisgarh,27,27
45,BALOD,Chhattisgarh,27,27
46,BALOD,Chhattisgarh,27,27
47,BALOD,Chhattisgarh,27,27
48,BALOD,Chhattisgarh,27,27
49,BALOD,Chhattisgarh,27,27
50,BALOD,Chhattisgarh,27,27
51,BALOD,Chhattisgarh,27,27
52,BALOD,Chhattisgarh,27,27
53,BALOD,Chhattisgarh,27,27
54,BALOD,Chhattisgarh,27,27
55,BALOD,Chhattisgarh,27,27
56,BALOD,Chhattisgarh,27,27
57,BALOD,Chhattisgarh,27,27
58,BALOD,Chhattisgarh,27,27
59,BALOD,Chhattisgarh,26,27
60,BALOD,Chhattisgarh,26,27
61,BALOD,Chhattisgarh,26,27
62,BALOD,Chhattisgarh,26,27
63,BALOD,Chhattisgarh,26,27
64,BALOD,Chhattisgarh,26,27
65,BALOD,Chhattisgarh,26,27
66,BALOD,Chhattisgarh,26,27
67,BALOD,Chhattisgarh,26,27
68,BALOD,Chhattisgarh,26,27
69,BALOD,Chhattisgarh,26,27
70,BALOD,Chhattisgarh,26,27
71,BALOD,Chhattisgarh,26,27
72,BALOD,Chhattisgarh,26,27
73,BALOD,Chhattisgarh,26,27
74,BALOD,Chhattisgarh,26,27
75,BALOD,Chhattisgarh,26,27
76,BALOD,Chhattisgarh,26,27
77,BALOD,Chhattisgarh,26,27
78,BALOD,Chhattisgarh,26,27
79,BALOD,Chhattisgarh,26,27
80,BALOD,Chhattisgarh,26,27
81,BALOD,Chhattisgarh,26,27
82,BALOD,Chhattisgarh,26,27
83,BALOD,Chhattisgarh,26,27
84,BALOD,Chhattisgarh,26,27
85,BALOD,Chhattisgarh,26,27
86,BALOD,Chhattisgarh,26,27
87,BALOD,Chhattisgarh,26,27
88,BALOD,Chhattisgarh,26,27
89,BALOD,Chhattisgarh,26,28
90,BALOD,Chhattisgarh,26,27
91,BALOD,Chhattisgarh,26,28
92,BALOD,Chhattisgarh,26,28
93,BALOD,Chhattisgarh,26,28
94,BALOD,Chhattisgarh,26,28
95,BALOD,Chhattisgarh,26,28
96,BALOD,Chhattisgarh,26,28
97,BALOD,Chhattisgarh,26,28
98,BALOD,Chhattisgarh,26,28
99,BALOD,Chhattisgarh,26,28
100,BALOD,Chhattisgarh,26,28
101,BALOD,Chhattisgarh,26,28
102,BALOD,Chhattisgarh,26,28
103,BALOD,Chhattisgarh,26,28
104,BALOD,Chhattisgarh,26,28
105,BALOD,Chhattisgarh,26,28
106,BALOD,Chhattisgarh,26,28
107,BALOD,Chhattisgarh,26,28
108,BALOD,Chhattisgarh,26,28
109,BALOD,Chhattisgarh,26,28
110,BALOD,Chhattisgarh,26,28
111,BALOD,Chhattisgarh,26,28
112,BALOD,Chhattisgarh,26,28
113,BALOD,Chhattisgarh,26,28
114,BALOD,Chhattisgarh,26,28
115,BALOD,Chhattisgarh,26,28
116,BALOD,Chhattisgarh,26,28
117,BALOD,Chhattisgarh,27,28
118,BALOD,Chhattisgarh,27,28
119,BALOD,Chhattisgarh,27,28
120,BALOD,Chhattisgarh,27,28
121,BALOD,Chhattisgarh,27,28
122,BALOD,Chhattisgarh,27,28
123,BALOD,Chhattisgarh,27,28
124,BALOD,Chhattisgarh,27,28
125,ADILABAD,Telangana,24,23
126,ADILABAD,Telangana,24,23
127,ADILABAD,Telangana,24,23
128,ADILABAD,Telangana,24,23
129,ADILABAD,Telangana,24,23
130,ADILABAD,Telangana,24,23
131,ADILABAD,Telangana,24,23
132,ADILABAD,Telangana,24,23
133,ADILABAD,Telangana,24,23
134,ADILABAD,Telangana,24,23
135,ADILABAD,Telangana,24,23
136,ADILABAD,Telangana,24,23
137,ADILABAD,Telangana,24,23
138,ADILABAD,Telangana,24,23
139,ADILABAD,Telangana,24,23
140,ADILABAD,Telangana,25,23
141,ADILABAD,Telangana,25,23
142,ADILABAD,Telangana,25,23
143,ADILABAD,Telangana,25,23
144,ADILABAD,Telangana,25,23
145,ADILABAD,Telangana,25,22
146,ADILABAD,Telangana,25,22
147,ADILABAD,Telangana,25,22
148,ADILABAD,Telangana,25,22
149,ADILABAD,Telangana,25,22
150,ADILABAD,Telangana,25,22
151,ADILABAD,Telangana,25,22
152,ADILABAD,Telangana,25,22
153,ADILABAD,Telangana,25,22
154,ADILABAD,Telangana,25,22
155,ADILABAD,Telangana,25,22
156,ADILABAD,Telangana,25,22
157,ADILABAD,Telangana,25,22
158,ADILABAD,Telangana,25,22
159,ADILABAD,Telangana,25,22
