FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
0,Chhattisgarh,BALOD,21.686,21.476,22.216,22.006,21.935,21.874,24.668,23.416,23.194,24.224,23.335,22.109,23.354,21.505,22.346,22.295,23.084,22.273,22.702,22.894,22.247,22.4,22.36,22.64,22.813,23.34,22.658,24.166,22.868,22.662,23.337,23.385,23.551,23.088,22.532,22.079,24.112,22.963,23.514,22.874,23.05,22.785,22.513,21.975,21.987,23.759,22.319,23.271,22.715,22.897,23.215,22.929
1,Telangana,ADILABAD,22.631,22.413,24.245,23.208,23.199,22.746,26.106,24.761,24.763,25.246,24.71,23.685,24.325,22.456,23.861,23.304,24.844,23.832,23.503,24.236,23.858,23.695,24.094,23.888,23.653,24.332,23.685,25.328,23.833,23.771,24.728,24.582,24.837,24.071,24.201,22.99,24.461,24.004,25.068,24.569,24.451,24.649,24.066,23.623,24.306,26.136,23.455,24.696,24.789,24.672,24.637,24.803
2,Madhya Pradesh,AGAR-MALWA,20.91,20.506,21.741,20.969,20.567,20.607,23.198,23.181,21.889,22.924,22.426,21.132,22.377,20.07,21.516,21.226,21.9,21.802,21.594,22.321,21.992,21.6,21.732,22.077,21.17,21.903,21.08,20.626,21.373,20.364,22.447,22.541,23.638,22.619,22.185,21.564,22.807,21.923,23.056,21.887,22.122,22.505,21.768,21.176,21.969,22.753,22.06,21.994,21.736,21.442,21.805,21.102
3,Uttar Pradesh,AGRA,21.233,20.674,21.437,19.985,20.38,20.512,21.59,22.263,21.073,22.577,21.767,20.605,21.702,20.581,20.599,20.778,21.005,21.29,21.59,20.425,21.171,20.982,21.23,21.312,21.542,21.561,20.863,19.231,21.811,21.386,22.161,21.622,22.005,20.837,21.085,20.124,22.145,21.196,22.447,21.189,21.634,21.634,21.039,21.013,21.335,22.289,22.164,21.886,20.893,20.535,21.288,21.125
4,Maharashtra,AHMEDNAGAR,21.882,21.544,24.51,22.506,21.923,21.999,24.673,23.645,23.87,24.278,24.387,22.758,24.142,22.168,23.287,23.247,23.846,23.084,22.355,22.982,23.008,22.785,23.114,22.648,22.682,23.231,22.382,24.118,22.333,22.153,23.012,23.198,24.132,23.815,23.209,22.534,23.926,23.699,24.131,23.48,23.692,23.792,23.67,23.414,23.8,25.067,22.861,23.493,23.898,23.808,24.014,23.876
5,Gujarat,AHMEDABAD,24.326,24.005,25.305,24.193,24.427,23.902,25.884,26.328,25.353,25.514,25.918,23.956,25.698,23.243,24.438,24.66,25.182,26.642,25.161,25.419,25.113,24.82,25.215,25.878,24.832,25.714,24.539,24.473,24.808,24.72,25.864,25.707,26.199,25.142,25.468,24.154,25.894,25.033,26.013,25.573,25.299,26.115,25.383,24.876,25.969,26.215,25.18,25.298,25.632,25.539,25.623,25.175
6,Rajasthan,AJMER,21.319,21.404,21.32,20.73,20.216,20.234,21.904,22.463,21.964,22.239,22.167,20.948,21.716,20.482,21.425,21.7,21.618,22.608,22.167,22.242,21.919,21.574,21.95,22.869,21.827,22.599,21.683,19.896,22.191,22.341,23.39,23.074,23.847,22.063,22.095,21.454,22.703,22.22,23.684,22.607,21.905,22.689,22.101,21.565,22.476,22.916,22.998,22.399,21.812,21.376,21.936,21.35
7,Maharashtra,AKOLA,22.654,22.555,24.279,23.112,22.759,22.246,25.408,24.228,24.394,25.146,25.219,23.587,25.237,22.272,23.931,23.407,24.861,23.892,23.264,24.785,23.588,23.95,23.551,23.673,23.704,24.396,23.132,24.732,23.661,23.425,24.908,24.252,24.637,23.863,23.903,22.621,24.413,23.834,25.003,23.935,24.507,24.374,24.039,23.909,24.2,25.702,23.264,24.393,24.203,23.678,24.619,24.381
8,Uttar Pradesh,ALIGARH,20.668,20.372,21.005,19.584,20.0,20.009,21.331,21.96,20.799,22.061,21.181,19.953,20.948,20.15,20.164,20.455,20.531,21.175,21.178,20.179,20.604,20.258,20.816,20.788,20.88,21.027,20.208,18.786,20.99,20.844,21.476,21.094,21.202,20.139,20.379,19.302,21.23,20.498,21.704,20.404,21.034,21.013,20.187,20.21,20.359,21.605,21.327,20.957,19.925,19.709,20.08,20.395
9,Madhya Pradesh,ALIRAJPUR,23.217,22.75,24.101,23.453,23.125,22.841,25.258,24.696,24.157,24.759,25.718,22.62,24.247,21.606,22.817,23.055,23.65,24.597,23.081,23.678,23.271,23.336,23.256,23.694,23.051,23.71,22.631,23.166,23.086,22.529,24.608,24.183,24.27,23.572,23.701,22.834,24.151,23.096,24.373,23.429,23.729,23.907,23.434,22.934,23.621,24.578,23.014,23.334,23.642,23.578,23.836,23.114
10,Uttar Pradesh,PRAYAGRAJ,21.352,20.928,21.508,21.078,21.469,21.041,22.387,22.219,21.355,23.298,21.87,20.55,21.626,20.646,21.45,21.441,21.411,21.255,21.763,21.467,21.618,20.972,21.908,22.106,22.205,22.399,21.245,21.109,22.67,22.262,22.608,22.55,22.317,21.727,21.682,21.518,22.305,21.82,22.436,21.906,22.567,21.734,21.213,21.294,20.875,22.891,21.714,22.542,21.819,21.478,22.365,21.822
11,Rajasthan,ALWAR,20.346,20.167,20.772,19.28,19.709,19.74,20.686,21.36,20.53,21.568,20.886,19.906,20.768,19.542,20.131,20.222,20.397,21.247,20.83,20.296,20.471,20.481,20.668,20.82,21.194,21.072,19.785,18.448,20.715,20.972,21.457,21.087,21.55,20.107,20.337,19.769,21.212,20.426,21.983,20.787,20.556,21.034,20.533,20.396,20.897,21.636,21.737,21.24,20.455,20.044,20.525,20.404
12,Haryana,AMBALA,18.422,18.311,18.457,17.351,17.705,17.796,18.415,18.765,18.105,18.925,18.24,17.445,18.374,17.546,17.724,18.176,17.61,18.989,18.763,18.294,18.441,18.174,18.76,18.381,18.172,18.641,17.902,16.568,18.649,18.617,19.153,19.327,18.721,18.147,18.788,18.093,18.908,18.146,19.422,18.062,18.407,19.028,18.407,18.692,18.543,19.162,20.201,19.184,18.45,18.206,18.548,18.922
13,Uttar Pradesh,AMBEDKAR NAGAR,21.39,21.401,21.769,21.438,21.531,21.133,21.603,21.874,21.714,22.724,22.196,21.096,21.686,21.268,21.584,21.636,21.44,21.541,22.037,21.489,21.479,20.779,21.677,21.711,21.606,22.275,21.308,21.16,22.766,22.042,22.256,21.586,21.906,21.388,21.557,21.359,22.199,21.65,22.134,21.479,22.125,21.291,20.618,20.855,20.227,22.01,21.195,21.801,21.256,20.701,21.67,21.439
