FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
0,Chhattisgarh,BALOD,31.168,29.369,31.112,32.417,31.908,31.65,30.716,31.111,30.963,30.433,32.23,30.459,30.1,30.708,30.929,31.117,30.63,29.998,30.779,31.298,29.171,31.156,30.922,31.198,31.083,29.881,30.913,30.159,30.754,31.633,30.768,31.07,31.687,31.723,31.067,30.646,30.295,30.399,30.578,31.258,32.415,30.203,30.87,30.901,29.539,29.662,31.508,31.493,31.114,31.65,29.078,29.912
1,Telangana,ADILABAD,32.741,31.4,32.696,34.266,32.588,32.856,32.195,32.607,32.613,31.906,33.485,32.07,31.574,32.165,32.568,32.747,32.138,31.557,32.761,31.966,30.493,32.64,32.448,32.423,32.784,31.037,32.414,31.027,32.445,32.388,31.743,32.227,33.212,33.047,32.522,31.802,30.935,31.928,31.87,32.862,33.9,31.572,32.657,32.392,31.109,31.341,33.582,32.849,33.042,33.756,31.442,31.606
2,Madhya Pradesh,AGAR-MALWA,29.721,29.203,29.233,30.612,30.012,29.238,29.264,29.841,29.666,28.64,30.395,29.924,28.033,28.326,30.109,30.488,29.356,29.42,30.584,29.821,28.724,29.795,29.424,29.662,29.941,28.818,29.912,28.218,29.501,29.585,28.932,29.766,30.873,30.419,30.615,29.776,29.823,30.537,29.575,30.597,31.838,29.96,29.561,29.78,29.064,29.232,30.386,30.105,30.89,29.613,29.2,29.687
3,Uttar Pradesh,AGRA,29.205,28.827,29.325,30.042,30.265,29.316,28.422,28.7,29.034,28.0,30.257,29.19,27.346,27.716,30.286,30.224,28.688,28.815,30.748,28.58,28.818,29.474,28.766,28.899,29.769,29.03,29.481,27.951,29.259,30.101,29.33,29.016,30.05,29.671,31.041,29.271,29.85,29.516,29.832,29.979,32.226,29.72,29.607,29.818,28.611,28.847,30.57,30.09,30.138,29.214,28.426,29.293
4,Maharashtra,AHMEDNAGAR,29.568,29.137,29.662,30.727,29.579,29.526,28.944,29.778,29.151,29.582,29.95,29.201,28.484,29.211,29.724,29.447,29.727,29.075,29.407,28.733,27.96,29.101,29.442,29.047,29.113,28.649,29.374,28.497,29.722,28.543,28.357,29.047,30.141,29.802,29.72,29.34,28.876,29.617,29.353,30.27,30.851,29.289,29.243,30.064,29.227,29.147,30.582,29.887,30.39,30.152,29.642,29.222
5,Gujarat,AHMEDABAD,30.897,30.636,29.984,31.165,30.795,30.213,29.005,30.679,29.968,29.63,31.252,30.678,29.129,28.994,30.614,30.612,30.646,30.804,31.105,30.484,29.917,30.668,29.775,30.335,31.046,29.711,31.15,29.639,31.079,30.382,30.246,30.436,31.54,30.935,31.277,30.291,30.358,31.069,30.464,31.422,32.517,30.944,30.453,30.883,30.693,31.158,31.819,31.357,31.709,31.063,31.058,31.393
6,Rajasthan,AJMER,30.05,29.12,28.654,29.808,29.59,28.689,28.25,28.779,29.077,27.659,29.572,29.127,26.524,27.021,30.01,30.353,29.188,28.863,30.462,28.906,28.665,29.294,28.79,28.973,29.564,28.994,29.626,27.592,29.271,30.079,29.698,29.358,30.821,30.03,30.879,28.774,30.007,30.114,29.406,30.627,32.572,29.914,29.324,29.842,28.754,29.436,30.586,30.31,30.882,29.455,28.657,29.331
7,Maharashtra,AKOLA,32.237,31.195,32.093,33.161,32.102,32.015,31.409,32.062,31.456,31.206,33.049,31.757,30.837,31.662,32.497,32.483,32.174,31.389,32.353,31.192,29.841,32.03,31.787,31.695,31.963,30.574,32.168,30.489,32.238,32.198,31.243,31.541,32.603,32.049,32.125,31.301,30.78,31.605,31.643,32.475,33.059,31.322,31.801,31.938,31.028,30.726,32.796,32.37,32.982,32.589,31.469,31.623
8,Uttar Pradesh,ALIGARH,28.371,27.528,28.2,28.905,29.063,28.043,27.095,27.842,28.094,27.395,29.413,27.953,25.965,26.491,29.118,29.282,27.651,27.873,29.52,27.693,27.468,28.032,27.637,27.904,28.461,28.033,28.379,26.867,28.272,29.096,28.119,27.947,28.81,28.416,29.609,28.172,28.377,28.272,28.569,28.682,30.88,28.337,28.479,28.627,27.294,27.775,29.457,28.709,28.782,27.903,26.98,27.937
9,Madhya Pradesh,ALIRAJPUR,30.458,29.941,29.906,30.734,30.591,30.021,29.582,30.69,29.716,29.517,31.197,29.844,28.564,28.12,30.01,29.976,29.775,30.084,30.287,29.617,28.915,29.872,29.149,29.572,29.953,29.086,30.031,28.734,30.446,29.256,28.937,30.122,30.331,29.681,30.278,29.723,29.769,29.97,29.53,30.261,31.257,29.49,29.2,29.686,29.202,29.427,30.482,29.992,30.623,29.856,29.776,30.094
10,Uttar Pradesh,PRAYAGRAJ,29.915,28.145,29.579,30.418,30.575,30.366,29.107,29.496,29.082,28.835,30.446,29.099,27.818,27.464,29.841,30.628,28.874,29.46,30.063,29.178,28.499,29.627,29.706,29.21,29.398,29.859,29.929,28.538,29.354,30.495,29.55,29.463,30.242,29.914,30.726,30.118,29.282,28.796,29.85,29.881,31.75,29.942,29.529,29.706,28.861,29.011,30.741,30.281,30.353,30.084,28.398,29.229
