FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
0,Chhattisgarh,BALOD,27.403,27.008,28.502,28.06,28.535,28.179,27.996,28.096,27.946,28.886,27.716,28.026,28.485,28.682,27.409,27.454,27.832,28.717,28.318,27.9,26.497,28.084,28.151,28.408,27.144,28.91,28.55,28.5,28.797,27.519,27.819,27.803,28.258,28.579,28.114,28.278,28.312,27.971,27.494,29.073,28.746,27.53,27.836,27.133,28.238,28.039,28.248,28.102,27.536,28.484,27.431,27.558
1,Telangana,ADILABAD,27.465,28.102,29.187,28.083,28.979,28.083,28.45,28.552,27.849,29.304,27.967,28.268,28.53,28.481,27.832,27.851,28.104,29.362,28.423,27.76,27.204,28.09,29.094,28.949,27.647,29.288,28.937,28.826,29.038,27.88,28.083,27.965,28.399,28.533,28.521,28.546,27.908,28.103,28.25,29.479,28.604,27.97,28.285,27.155,29.153,28.879,28.435,28.689,28.073,29.148,27.951,28.038
2,Madhya Pradesh,AGAR-MALWA,27.654,26.84,28.081,27.333,28.586,27.831,27.586,27.716,27.393,28.813,27.947,28.473,28.538,28.536,27.556,28.215,28.064,29.394,28.614,28.462,27.432,28.595,28.968,28.166,26.906,28.614,28.286,27.586,28.381,27.171,27.973,27.751,28.735,27.951,28.379,28.857,27.624,28.416,27.74,29.067,28.796,27.616,28.196,27.227,29.023,27.931,28.257,28.092,27.686,28.244,28.595,28.269
3,Uttar Pradesh,AGRA,30.982,29.39,31.417,31.027,30.956,30.152,30.221,29.919,30.123,31.81,30.387,31.285,31.524,30.841,30.466,30.635,30.773,32.823,30.735,30.723,30.798,31.788,31.16,31.295,30.978,31.392,30.461,30.496,31.351,30.829,30.62,30.847,31.932,30.962,31.21,31.092,30.836,30.916,29.882,32.227,31.436,30.572,31.719,30.673,32.269,31.437,31.241,31.24,30.923,31.398,31.743,31.294
4,Maharashtra,AHMEDNAGAR,25.851,26.277,27.353,25.714,26.584,25.962,25.839,26.028,26.142,26.891,25.902,26.389,26.812,26.858,26.285,26.312,26.091,27.107,26.449,25.659,25.362,25.795,26.715,26.359,25.39,27.009,26.408,26.51,26.313,25.221,25.357,26.033,26.439,26.398,26.107,26.401,26.126,26.641,26.313,27.175,26.639,26.332,26.665,25.624,27.137,27.135,26.269,26.315,26.066,26.585,26.49,26.257
5,Gujarat,AHMEDABAD,29.015,28.854,30.002,28.723,30.072,28.714,28.069,28.583,29.031,29.75,29.473,29.469,30.038,29.416,28.499,29.514,29.606,31.56,30.006,29.495,29.308,29.799,29.796,30.233,28.294,30.56,29.516,29.111,30.137,29.702,30.009,29.003,29.738,29.218,29.35,29.19,29.035,29.608,29.157,30.468,29.948,29.635,30.117,29.024,30.402,30.408,30.118,29.704,29.756,30.101,30.026,29.816
6,Rajasthan,AJMER,29.801,28.594,29.511,29.437,30.056,28.851,29.084,28.639,28.914,30.185,30.475,30.268,30.101,29.827,29.679,30.017,30.248,32.117,30.407,30.006,29.305,30.363,30.269,30.197,28.66,30.922,29.583,29.57,30.143,30.016,30.341,29.507,31.588,29.982,30.475,30.006,29.704,30.077,29.466,31.363,30.271,29.747,30.344,29.831,30.934,30.203,30.274,29.926,29.66,30.381,30.704,29.989
7,Maharashtra,AKOLA,27.246,27.931,28.237,27.237,28.704,27.334,27.484,27.727,27.513,28.792,27.756,27.952,28.65,28.48,27.865,28.002,27.906,28.964,28.093,27.436,26.9,27.844,28.278,28.211,26.751,28.941,28.159,28.052,28.626,27.444,27.744,27.449,27.603,27.363,27.78,28.088,27.167,27.874,27.667,28.804,28.23,27.29,27.643,26.636,28.81,28.514,27.981,28.23,27.402,28.118,28.0,27.78
8,Uttar Pradesh,ALIGARH,30.645,29.216,31.066,30.813,30.663,29.556,29.724,29.657,30.064,31.38,30.177,30.971,31.027,30.423,30.06,30.378,30.547,32.512,30.326,30.485,30.482,31.22,30.581,30.782,30.54,30.968,30.002,30.228,30.741,30.565,29.984,30.639,31.383,30.358,30.695,30.689,30.414,30.666,29.541,31.541,30.53,30.176,31.205,30.074,31.44,30.94,30.792,30.749,30.528,30.982,31.045,30.652
9,Madhya Pradesh,ALIRAJPUR,27.292,27.16,28.014,27.05,28.585,27.646,27.088,27.455,27.563,28.48,27.997,27.518,28.225,27.62,26.824,27.907,27.625,29.103,27.76,27.401,26.896,27.927,28.17,27.792,26.444,28.314,27.361,27.235,28.193,26.982,27.993,27.539,27.532,26.993,27.485,27.879,27.342,27.667,27.271,28.217,28.132,27.086,27.48,26.435,28.183,27.764,27.838,27.572,27.349,27.788,27.906,27.88
10,Uttar Pradesh,PRAYAGRAJ,29.786,28.581,30.774,30.44,30.148,29.675,29.535,29.449,29.408,30.641,29.242,29.696,29.843,29.88,29.303,29.914,29.397,31.174,29.942,29.824,29.053,29.886,30.627,30.709,29.869,30.934,29.903,30.013,30.797,29.848,29.576,29.78,30.851,30.106,29.903,30.687,29.891,30.075,28.987,31.128,31.071,29.704,30.843,29.834,31.017,30.938,30.291,30.581,30.603,30.964,30.226,29.999
11,Rajasthan,ALWAR,30.576,29.375,30.841,30.836,30.791,29.473,29.652,29.358,29.764,31.085,30.415,30.741,30.951,30.204,30.389,30.565,30.879,32.913,30.418,30.789,30.625,31.718,30.56,30.874,30.175,31.329,29.833,30.385,30.82,31.194,30.799,30.505,32.042,30.72,31.077,30.846,30.535,30.765,29.915,31.958,30.706,30.352,31.45,30.794,31.949,31.033,31.077,30.87,30.735,31.303,31.512,30.915
12,Haryana,AMBALA,28.553,27.455,28.758,28.409,28.51,27.829,27.638,27.559,27.802,28.269,28.13,28.752,28.833,28.338,28.185,28.277,27.559,30.096,28.389,28.151,27.974,28.533,28.088,28.31,27.872,28.12,27.637,27.848,28.314,27.652,27.098,28.173,27.979,27.793,27.962,28.48,28.14,27.869,27.511,28.824,27.707,28.134,29.26,28.351,29.336,28.372,28.8,28.618,28.504,29.129,28.954,28.786
13,Uttar Pradesh,AMBEDKAR NAGAR,29.333,28.633,30.335,29.946,29.713,29.352,29.405,29.492,29.478,30.508,29.371,29.702,29.556,30.088,28.649,29.373,29.306,30.259,29.438,29.325,29.013,29.399,29.795,29.322,29.4,29.948,29.36,29.515,30.076,29.176,28.899,28.925,29.891,29.397,28.973,30.108,29.219,29.416,28.391,30.351,30.237,29.305,30.227,29.319,30.061,30.149,29.385,29.842,29.865,29.955,29.386,29.096
14,Uttar Pradesh,AMETHI,29.796,28.901,30.976,30.219,30.075,29.359,29.4,29.564,29.352,30.342,28.887,29.167,29.349,29.215,29.07,29.511,29.26,30.689,29.699,29.618,29.232,29.748,30.098,30.023,30.17,30.365,29.506,29.7,30.18,29.691,29.256,29.447,30.416,29.452,29.752,30.263,29.654,29.52,28.5,30.554,30.364,29.255,30.241,29.103,30.235,30.384,29.554,30.019,29.939,30.31,29.962,29.597
