FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
0,Chhattisgarh,BALOD,21.531,20.861,20.112,21.589,20.62,19.974,20.357,21.803,20.225,20.94,22.103,20.71,21.824,21.001,20.981,20.918,20.587,20.606,21.857,20.956,21.84,21.098,20.536,21.196,21.57,20.2,22.199,20.215,21.499,21.223,20.766,21.615,21.178,21.955,20.38,21.181,22.011,21.044,20.711,22.57,20.773,20.478,20.629,20.898,20.732,20.252,22.22,21.426,21.003,20.399,19.913,21.593
1,Telangana,ADILABAD,24.424,23.736,22.698,25.147,23.258,22.574,22.563,24.349,23.29,23.917,24.82,23.263,24.391,23.231,23.328,24.545,23.133,23.512,24.839,23.413,23.803,23.913,22.625,23.557,24.0,22.192,24.862,22.147,23.999,23.224,23.337,24.258,23.872,24.634,23.12,23.444,23.65,23.456,23.555,25.544,23.754,22.73,23.868,23.747,23.529,22.989,25.522,23.897,23.61,23.254,23.095,24.164
2,Madhya Pradesh,AGAR-MALWA,18.656,17.938,17.551,19.025,17.747,17.258,19.266,19.003,17.901,18.314,18.895,18.474,18.515,17.434,17.09,18.265,18.351,19.137,19.88,18.218,19.625,18.895,17.934,19.363,19.041,17.344,18.018,17.634,17.552,17.714,16.852,19.117,18.478,19.396,18.452,17.975,20.89,20.151,17.175,20.597,19.092,18.136,17.444,17.656,17.181,17.923,19.535,18.955,19.534,17.644,17.42,19.205
3,Uttar Pradesh,AGRA,15.713,15.716,15.48,16.965,15.277,14.945,17.101,15.996,15.262,16.138,16.944,16.678,16.095,15.526,15.196,15.712,15.8,17.202,17.4,15.386,17.247,16.544,15.764,17.073,16.901,15.79,16.507,15.708,16.003,15.617,15.542,15.716,16.087,15.006,15.357,16.059,18.642,16.736,15.491,17.74,16.506,15.934,15.618,15.56,15.401,16.227,17.541,17.147,17.216,16.04,16.007,17.249
4,Maharashtra,AHMEDNAGAR,22.345,21.516,21.076,23.191,22.104,21.4,21.336,22.56,21.828,22.86,22.867,21.713,22.559,22.093,22.057,22.371,22.38,22.658,22.846,21.517,22.328,21.705,21.119,21.955,21.635,20.801,22.974,20.786,21.957,21.507,21.711,22.451,22.258,23.288,22.488,22.153,22.735,22.551,21.513,23.801,22.727,21.592,22.057,23.058,22.195,22.108,23.387,22.659,22.587,21.883,22.68,23.291
5,Gujarat,AHMEDABAD,21.507,20.707,20.001,21.151,20.203,20.336,21.154,21.269,20.627,20.886,21.668,21.578,21.642,20.335,19.394,20.914,21.508,22.326,23.273,21.009,22.804,20.84,20.579,22.318,21.817,21.027,22.059,20.671,21.203,21.533,21.106,21.189,21.478,22.598,21.69,20.176,23.015,22.579,19.832,22.842,22.674,21.414,20.373,21.584,21.136,22.106,22.623,22.612,22.914,21.159,21.408,22.324
6,Rajasthan,AJMER,17.513,16.773,16.132,17.247,15.826,15.091,17.574,16.612,16.125,16.477,16.979,16.925,16.244,15.683,15.263,16.944,16.442,17.834,18.681,16.345,18.179,17.326,16.863,18.343,17.622,17.077,17.515,16.736,16.937,17.377,16.916,17.671,17.275,17.171,17.583,16.14,19.867,18.09,15.704,19.266,18.27,17.034,16.321,16.808,16.246,17.921,18.454,17.841,18.749,16.636,16.65,18.16
7,Maharashtra,AKOLA,23.703,22.73,21.952,23.55,22.35,21.521,22.217,23.075,21.86,22.898,23.855,22.672,23.304,22.835,22.355,23.48,22.9,23.021,24.409,22.8,23.438,22.89,21.826,22.856,22.907,21.537,24.41,21.192,22.739,22.78,22.202,23.387,23.085,23.665,22.665,22.265,23.619,23.054,21.946,25.168,22.546,22.216,22.58,22.722,22.839,22.219,24.429,23.353,23.39,22.291,21.892,23.856
8,Uttar Pradesh,ALIGARH,15.292,15.105,14.716,16.222,14.674,14.426,16.415,15.635,14.863,15.804,16.319,15.983,15.286,14.626,14.3,15.142,15.134,16.665,16.722,14.694,16.356,15.429,14.863,16.337,15.894,14.995,15.667,14.77,15.147,14.797,14.605,14.824,15.197,13.975,14.67,15.09,17.707,15.731,14.661,16.752,15.417,14.892,14.859,14.334,14.246,15.485,16.632,16.145,15.794,14.98,14.849,15.827
9,Madhya Pradesh,ALIRAJPUR,20.927,20.221,19.758,20.799,20.311,20.044,21.636,21.033,20.617,20.738,21.561,20.342,20.747,19.579,18.714,20.197,20.767,21.644,22.192,20.042,21.873,20.05,19.924,21.15,20.677,19.781,21.201,19.716,20.662,20.299,19.891,21.062,20.355,21.132,20.586,19.848,22.212,21.337,18.888,22.266,21.103,19.864,19.055,20.143,19.656,20.308,21.433,21.048,21.425,19.774,20.12,21.431
