FID,STATE,DISTRICT,1970 Avg Temp,1971 Avg Temp,1972 Avg Temp,1973 Avg Temp,1974 Avg Temp,1975 Avg Temp,1976 Avg Temp,1977 Avg Temp,1978 Avg Temp,1979 Avg Temp,1980 Avg Temp,1981 Avg Temp,1982 Avg Temp,1983 Avg Temp,1984 Avg Temp,1985 Avg Temp,1986 Avg Temp,1987 Avg Temp,1988 Avg Temp,1989 Avg Temp,1990 Avg Temp,1991 Avg Temp,1992 Avg Temp,1993 Avg Temp,1994 Avg Temp,1995 Avg Temp,1996 Avg Temp,1997 Avg Temp,1998 Avg Temp,1999 Avg Temp,2000 Avg Temp,2001 Avg Temp,2002 Avg Temp,2003 Avg Temp,2004 Avg Temp,2005 Avg Temp,2006 Avg Temp,2007 Avg Temp,2008 Avg Temp,2009 Avg Temp,2010 Avg Temp,2011 Avg Temp,2012 Avg Temp,2013 Avg Temp,2014 Avg Temp,2015 Avg Temp,2016 Avg Temp,2017 Avg Temp,2018 Avg Temp,2019 Avg Temp,2020 Avg Temp,2021 Avg Temp
0,Chhattisgarh,BALOD,26.027,25.262,26.267,26.659,26.51,26.199,26.655,26.727,26.33,26.862,26.892,26.037,26.573,26.204,26.026,26.08,26.219,26.168,26.529,26.44,25.388,26.358,26.198,26.545,26.211,26.404,26.67,26.543,26.676,26.375,26.317,26.572,26.851,26.989,26.258,26.228,26.778,26.257,26.21,27.065,27.017,25.92,26.157,25.838,25.828,26.167,26.654,26.715,26.225,26.627,25.585,26.066
1,Telangana,ADILABAD,27.149,26.832,27.829,28.008,27.572,27.103,27.893,28.008,27.599,28.115,28.077,27.329,27.623,27.112,27.342,27.465,27.545,27.637,27.749,27.289,26.676,27.519,27.679,27.741,27.415,27.396,27.871,27.47,27.835,27.288,27.42,27.647,28.046,27.991,27.624,27.211,27.153,27.34,27.637,28.513,28.176,27.251,27.671,27.098,27.568,27.909,28.063,28.017,27.831,28.291,27.228,27.538
2,Madhya Pradesh,AGAR-MALWA,25.082,24.453,25.107,25.285,25.239,24.723,25.58,25.761,25.123,25.644,25.764,25.443,25.288,24.624,25.036,25.49,25.325,25.887,25.978,25.665,25.164,25.63,25.514,25.643,25.022,25.218,25.269,24.429,25.208,24.602,25.057,25.611,26.39,25.922,25.845,25.569,25.927,26.047,25.352,26.342,26.386,25.443,25.228,24.862,25.405,25.393,25.872,25.658,25.757,25.216,25.269,25.425
3,Uttar Pradesh,AGRA,25.675,24.895,25.813,25.785,25.653,25.117,25.492,25.495,25.247,26.024,26.062,25.779,25.548,25.06,25.51,25.709,25.412,26.441,26.329,25.183,25.739,26.074,25.602,25.927,26.087,25.869,25.585,24.68,26.002,25.858,25.755,25.665,26.444,25.591,26.125,25.513,26.486,25.89,25.697,26.602,26.841,25.792,25.932,25.643,25.923,26.071,26.607,26.377,26.054,25.685,25.747,26.027
4,Maharashtra,AHMEDNAGAR,25.267,25.062,26.238,25.819,25.486,25.162,25.621,25.86,25.675,26.298,26.086,25.481,25.908,25.545,25.751,25.74,25.89,25.913,25.611,25.129,24.964,25.262,25.624,25.437,25.09,25.512,25.621,25.512,25.515,24.728,24.962,25.538,26.165,26.152,25.746,25.534,25.741,26.031,25.776,26.529,26.372,25.718,25.854,25.819,26.073,26.342,26.072,25.959,26.101,26.065,26.062,25.964
5,Gujarat,AHMEDABAD,27.14,26.8,27.209,27.028,27.284,26.579,26.645,27.405,27.034,27.262,27.799,27.162,27.392,26.336,26.576,27.231,27.496,28.675,27.998,27.392,27.376,27.367,27.177,27.916,27.124,27.631,27.503,26.748,27.63,27.341,27.611,27.313,28.014,27.609,27.656,26.803,27.64,27.736,27.213,28.299,28.305,27.789,27.463,27.288,27.906,28.238,28.126,27.922,28.163,27.786,27.807,27.883
6,Rajasthan,AJMER,25.799,25.064,25.08,25.433,25.221,24.483,25.213,25.233,25.213,25.371,26.023,25.547,24.887,24.545,25.392,25.962,25.631,26.644,26.493,25.628,25.522,25.83,25.667,26.164,25.447,26.166,25.693,24.602,25.839,26.106,26.288,25.991,27.188,26.009,26.442,25.371,26.464,26.234,25.796,27.079,26.885,26.005,25.778,25.709,25.931,26.231,26.651,26.242,26.308,25.716,25.733,25.787
7,Maharashtra,AKOLA,26.834,26.588,27.242,27.166,27.098,26.352,27.136,27.248,26.872,27.58,27.868,27.022,27.522,26.87,27.198,27.309,27.459,27.397,27.396,27.021,26.282,27.178,26.975,27.138,26.741,27.072,27.342,26.763,27.393,26.936,27.042,27.069,27.448,27.13,27.132,26.648,26.85,27.074,27.102,27.974,27.648,26.807,27.021,26.714,27.295,27.393,27.482,27.576,27.415,27.244,27.066,27.305
8,Uttar Pradesh,ALIGARH,25.144,24.329,25.181,25.206,25.054,24.386,24.813,25.051,24.853,25.544,25.523,25.08,24.711,24.355,24.82,25.208,24.848,25.981,25.666,24.705,25.003,25.155,24.872,25.253,25.281,25.214,24.852,24.053,25.203,25.248,24.915,25.049,25.6,24.726,25.298,24.737,25.592,25.152,24.939,25.688,25.873,24.984,25.136,24.745,24.882,25.346,25.821,25.469,25.102,24.834,24.654,25.058
9,Madhya Pradesh,ALIRAJPUR,26.082,25.663,26.199,26.118,26.431,25.862,26.39,26.591,26.186,26.601,27.222,25.768,26.139,24.985,25.344,26.018,26.108,27.055,26.351,25.886,25.706,26.044,25.885,26.177,25.596,26.023,25.887,25.411,26.307,25.403,26.098,26.348,26.308,25.92,26.168,25.842,26.359,26.128,25.782,26.622,26.728,25.771,25.567,25.405,25.962,26.22,26.294,26.12,26.348,25.994,26.124,26.249
